application_id,country_of_applicant,application_date,education_of_employee,has_job_experience,requires_job_training,visa_type,processing_center,processing_time_days,case_status,destination_country,job_offer,years_experience,documents_complete,previous_visa_rejections,processing_days,visa_status
34,India,6/1/2025 19:22,Bachelor's,N,Y,Work,Center A,13,Certified,UK,No,3,Yes,0,20,Approved
35,India,7/13/2024 23:16,Master's,Y,Y,Student,Center A,135,Certified,UK,,,No,0,56,Rejected
36,India,8/26/2025 16:08,Master's,Y,Y,Student,Center A,318,Certified,Singapore,,,Yes,2,25,Rejected
37,India,5/11/2024 20:32,High School,N,N,Tourist,Center A,250,Certified,Canada,,,Yes,0,46,Pending
38,India,6/5/2024 0:24,High School,Y,Y,Tourist,Center B,251,Denied,Australia,,,No,0,58,Rejected
39,India,6/1/2024 15:07,Master's,Y,N,Work,Center C,343,Certified,Australia,No,9,Yes,0,49,Pending
40,India,3/12/2025 10:55,Diploma,N,N,Student,Center A,273,Certified,Singapore,,,No,2,16,Rejected
41,India,11/7/2024 19:07,High School,N,N,Work,Center B,65,Certified,UAE,Yes,2,No,0,14,Rejected
42,India,9/23/2024 12:24,Diploma,Y,Y,Work,Center C,255,Certified,UAE,Yes,2,Yes,1,30,Pending
43,India,2/7/2026 12:49,Master's,N,N,Business,Center D,252,Certified,Singapore,,,Yes,2,54,Rejected
44,India,9/15/2024 12:13,Bachelor's,N,N,Tourist,Center B,32,Certified,UAE,,,No,2,40,Rejected
45,India,1/4/2024 3:30,Diploma,Y,N,Business,Center A,155,Denied,UK,,,No,2,47,Rejected
46,India,2/11/2024 11:45,High School,Y,Y,Business,Center A,337,Denied,Australia,,,Yes,2,43,Rejected
47,India,9/1/2025 3:44,PhD,Y,N,Work,Center D,208,Certified,Singapore,No,14,Yes,0,47,Pending
48,India,4/9/2024 8:49,Master's,Y,Y,Tourist,Center B,158,Certified,Australia,,,Yes,2,32,Rejected
49,India,7/25/2024 7:06,PhD,Y,N,Business,Center A,249,Denied,USA,,,Yes,1,45,Pending
50,India,2/27/2025 15:08,Master's,Y,Y,Tourist,Center C,174,Denied,UK,,,Yes,2,37,Rejected
51,India,2/15/2026 16:26,Bachelor's,Y,N,Business,Center B,266,Denied,Germany,,,Yes,1,20,Approved
52,India,11/28/2025 23:17,High School,N,N,Business,Center C,145,Certified,UK,,,No,0,35,Rejected
53,India,1/29/2025 21:31,PhD,Y,N,Work,Center C,196,Certified,Singapore,No,12,Yes,2,47,Rejected
54,India,2/25/2025 16:27,Diploma,Y,N,Tourist,Center D,331,Certified,Germany,,,No,0,36,Rejected
55,India,11/25/2025 19:33,Master's,Y,N,Business,Center D,110,Certified,USA,,,No,2,53,Rejected
56,India,9/29/2025 19:10,PhD,N,Y,Student,Center A,118,Certified,Singapore,,,No,2,26,Rejected
57,India,2/8/2024 23:10,High School,Y,Y,Student,Center D,156,Certified,Canada,,,Yes,0,9,Approved
58,India,11/10/2025 21:38,High School,Y,Y,Tourist,Center A,312,Denied,Australia,,,No,0,26,Rejected
59,India,2/23/2025 15:51,Master's,Y,N,Student,Center C,112,Certified,USA,,,No,1,47,Rejected
60,India,10/8/2025 9:34,Bachelor's,N,N,Work,Center B,29,Certified,Australia,No,14,No,2,43,Rejected
61,India,10/22/2025 8:43,Diploma,Y,N,Tourist,Center B,170,Certified,UAE,,,Yes,2,25,Rejected
62,India,7/22/2025 23:42,Diploma,N,N,Student,Center C,87,Certified,Canada,,,No,0,54,Rejected
63,India,1/16/2026 19:44,High School,N,N,Tourist,Center D,55,Denied,Canada,,,Yes,0,35,Pending
64,India,3/24/2025 5:37,Master's,Y,N,Work,Center D,293,Certified,USA,No,14,Yes,0,40,Pending
65,India,8/22/2025 0:58,High School,N,N,Tourist,Center D,337,Certified,Canada,,,Yes,0,38,Pending
66,India,2/16/2026 6:57,PhD,N,N,Student,Center D,126,Certified,Germany,,,No,0,8,Rejected
67,India,7/11/2025 12:49,PhD,Y,Y,Work,Center C,240,Certified,Canada,No,0,Yes,0,7,Approved
68,India,8/31/2025 8:42,PhD,Y,N,Work,Center A,17,Certified,Australia,Yes,2,No,2,50,Rejected
69,India,10/1/2024 12:08,Master's,Y,Y,Work,Center A,22,Certified,Australia,Yes,11,No,0,15,Rejected
70,India,11/30/2025 21:53,PhD,Y,N,Work,Center C,167,Certified,Singapore,Yes,6,No,1,42,Rejected
71,India,5/27/2024 5:07,Master's,N,Y,Business,Center A,249,Certified,Australia,,,No,0,40,Rejected
72,India,7/17/2025 20:00,PhD,Y,N,Work,Center D,271,Denied,Singapore,Yes,1,No,2,12,Rejected
73,India,5/24/2025 21:16,PhD,Y,Y,Work,Center A,228,Certified,Australia,No,12,No,2,11,Rejected
74,India,3/19/2025 16:34,Master's,N,N,Business,Center B,244,Certified,Germany,,,Yes,0,14,Approved
75,India,8/29/2025 23:04,Master's,Y,Y,Work,Center B,31,Certified,Singapore,No,5,Yes,0,24,Approved
76,India,7/27/2025 21:17,Master's,N,Y,Student,Center B,107,Certified,UK,,,No,1,45,Rejected
77,India,1/1/2026 12:32,Master's,Y,N,Tourist,Center B,352,Denied,UAE,,,Yes,2,39,Rejected
78,India,3/8/2025 23:02,Master's,Y,Y,Tourist,Center D,295,Certified,USA,,,Yes,0,36,Pending
79,India,11/8/2024 14:33,Master's,Y,Y,Tourist,Center B,75,Certified,Australia,,,Yes,0,56,Pending
80,India,8/17/2025 1:42,Diploma,Y,N,Work,Center C,308,Certified,Canada,No,12,Yes,2,29,Rejected
81,India,3/23/2024 12:35,Bachelor's,Y,N,Business,Center B,360,Certified,Australia,,,Yes,1,32,Pending
82,India,2/22/2024 14:39,PhD,Y,Y,Tourist,Center A,207,Certified,Canada,,,No,2,10,Rejected
83,India,9/17/2025 21:57,High School,N,N,Business,Center A,23,Certified,UAE,,,Yes,0,12,Approved
84,India,9/22/2025 11:47,Master's,Y,N,Tourist,Center A,353,Denied,UAE,,,Yes,1,53,Pending
85,India,4/25/2025 19:33,Bachelor's,Y,N,Tourist,Center A,343,Certified,UAE,,,No,0,7,Rejected
86,India,6/23/2025 15:55,Master's,N,Y,Work,Center A,318,Denied,Canada,Yes,2,Yes,0,49,Pending
87,India,9/16/2025 5:38,High School,N,Y,Work,Center B,277,Certified,Australia,Yes,3,No,2,11,Rejected
88,India,8/30/2025 2:22,PhD,N,N,Business,Center D,142,Certified,UAE,,,No,0,36,Rejected
89,India,6/21/2024 5:48,High School,N,Y,Tourist,Center A,180,Certified,Germany,,,No,0,28,Rejected
90,India,1/29/2025 1:07,PhD,N,N,Student,Center A,125,Certified,Singapore,,,Yes,2,9,Rejected
91,India,5/27/2024 5:54,High School,Y,N,Student,Center C,110,Certified,Canada,,,Yes,0,30,Pending
92,India,9/13/2024 16:40,Diploma,Y,Y,Tourist,Center B,74,Certified,Canada,,,Yes,0,51,Pending
93,India,6/20/2025 3:03,Diploma,Y,N,Tourist,Center C,58,Certified,Australia,,,Yes,2,36,Rejected
94,India,5/28/2024 2:42,Bachelor's,Y,N,Student,Center B,283,Certified,Canada,,,No,0,56,Rejected
95,India,10/28/2024 15:47,Master's,N,Y,Tourist,Center C,73,Certified,Canada,,,No,2,27,Rejected
96,India,4/1/2025 12:27,Diploma,Y,N,Business,Center C,278,Certified,UAE,,,No,0,32,Rejected
97,India,4/1/2024 7:02,Master's,Y,N,Tourist,Center A,36,Certified,Australia,,,No,0,44,Rejected
98,India,12/3/2025 23:22,Bachelor's,N,Y,Work,Center B,8,Denied,UAE,No,1,Yes,1,33,Pending
99,India,12/7/2025 20:10,PhD,N,N,Work,Center C,32,Denied,Singapore,No,3,Yes,0,38,Pending
100,India,1/9/2024 21:46,High School,Y,Y,Student,Center B,183,Denied,Singapore,,,Yes,1,16,Approved
101,India,7/21/2025 5:08,PhD,Y,Y,Tourist,Center A,307,Certified,UAE,,,Yes,0,10,Approved
102,India,11/25/2024 2:14,PhD,N,N,Work,Center B,173,Certified,Singapore,No,5,Yes,2,57,Rejected
103,India,4/2/2024 6:16,Master's,Y,Y,Tourist,Center D,239,Denied,Australia,,,No,1,53,Rejected
104,India,2/8/2024 13:17,PhD,Y,Y,Business,Center A,349,Certified,USA,,,Yes,2,21,Rejected
105,India,3/2/2025 1:14,Diploma,Y,N,Work,Center B,232,Certified,UAE,Yes,8,No,2,59,Rejected
106,India,2/2/2025 11:33,Diploma,N,Y,Student,Center D,110,Certified,Germany,,,No,1,33,Rejected
107,India,3/6/2024 10:37,PhD,N,N,Tourist,Center C,351,Certified,Germany,,,No,2,44,Rejected
108,India,12/13/2025 10:05,Diploma,Y,N,Student,Center A,231,Certified,Canada,,,Yes,1,54,Pending
109,India,6/14/2025 6:40,High School,Y,Y,Work,Center D,46,Denied,Singapore,Yes,12,Yes,2,48,Rejected
110,India,7/24/2024 10:46,Diploma,N,Y,Work,Center A,191,Certified,Germany,No,0,Yes,0,18,Approved
111,India,3/3/2025 1:34,Master's,Y,N,Work,Center C,50,Denied,Canada,No,0,Yes,0,21,Approved
112,India,10/2/2024 22:46,PhD,N,Y,Business,Center A,173,Certified,USA,,,No,2,37,Rejected
113,India,2/12/2026 13:16,Bachelor's,Y,N,Business,Center C,266,Certified,Australia,,,No,2,14,Rejected
114,India,5/14/2025 11:55,Diploma,N,N,Work,Center D,63,Denied,Australia,Yes,9,Yes,2,33,Rejected
115,India,9/23/2024 3:03,Diploma,Y,N,Tourist,Center B,122,Certified,Australia,,,No,1,40,Rejected
116,India,12/20/2025 19:12,Diploma,Y,N,Business,Center B,321,Certified,Germany,,,No,0,38,Rejected
117,India,9/11/2024 6:59,High School,N,Y,Work,Center D,85,Certified,USA,No,14,Yes,0,31,Pending
118,India,2/26/2025 14:37,Bachelor's,Y,Y,Tourist,Center C,149,Denied,Germany,,,Yes,1,48,Pending
119,India,12/28/2024 3:16,Diploma,Y,N,Student,Center A,123,Certified,Singapore,,,No,1,57,Rejected
120,India,9/4/2024 2:58,Diploma,N,N,Business,Center A,254,Certified,Germany,,,Yes,0,12,Approved
121,India,9/28/2024 19:23,High School,N,Y,Work,Center C,279,Denied,USA,No,5,No,1,48,Rejected
122,India,12/16/2025 0:24,High School,Y,N,Business,Center C,26,Certified,USA,,,Yes,1,21,Approved
123,India,2/21/2025 18:04,Diploma,N,N,Tourist,Center D,112,Certified,Singapore,,,Yes,1,50,Pending
124,India,8/6/2025 19:26,Diploma,N,Y,Tourist,Center B,37,Certified,USA,,,Yes,0,11,Approved
125,India,5/25/2025 0:35,Diploma,N,Y,Tourist,Center A,214,Certified,USA,,,Yes,2,29,Rejected
126,India,2/15/2025 14:44,Diploma,Y,N,Business,Center D,333,Denied,Australia,,,No,2,53,Rejected
127,India,2/6/2025 6:25,Bachelor's,Y,Y,Work,Center A,259,Certified,Singapore,Yes,8,Yes,0,7,Approved
128,India,8/11/2025 19:39,PhD,N,N,Tourist,Center C,185,Denied,UK,,,Yes,0,17,Approved
129,India,9/15/2025 18:09,PhD,N,N,Business,Center C,149,Certified,UK,,,No,2,42,Rejected
130,India,9/30/2024 13:53,Master's,Y,N,Student,Center B,44,Certified,USA,,,No,0,43,Rejected
131,India,1/29/2024 18:06,High School,N,N,Business,Center A,298,Certified,UK,,,No,2,27,Rejected
132,India,4/1/2025 14:19,PhD,Y,N,Business,Center C,158,Certified,UK,,,Yes,1,50,Pending
133,India,1/26/2024 20:50,Diploma,N,N,Student,Center C,45,Certified,USA,,,No,1,29,Rejected
134,India,10/1/2024 3:22,Diploma,Y,Y,Student,Center C,58,Certified,UK,,,Yes,1,40,Pending
135,India,3/14/2025 9:18,Bachelor's,N,N,Student,Center B,25,Certified,Germany,,,No,0,51,Rejected
136,India,12/11/2024 14:12,High School,Y,Y,Student,Center D,35,Certified,Canada,,,Yes,1,35,Pending
137,India,2/21/2025 20:34,PhD,Y,Y,Tourist,Center A,215,Certified,Singapore,,,No,1,31,Rejected
138,India,6/18/2025 6:01,Bachelor's,Y,Y,Work,Center A,248,Certified,Canada,No,11,Yes,1,28,Pending
139,India,5/21/2024 3:33,Bachelor's,Y,N,Student,Center B,84,Certified,USA,,,Yes,1,31,Pending
140,India,7/8/2025 19:35,High School,Y,N,Work,Center C,294,Denied,Australia,No,2,Yes,1,33,Pending
141,India,6/15/2024 22:01,Diploma,Y,N,Work,Center A,173,Certified,Singapore,No,1,No,1,11,Rejected
142,India,9/2/2024 8:54,Diploma,Y,N,Tourist,Center C,48,Certified,USA,,,No,1,13,Rejected
143,India,9/25/2024 22:01,High School,Y,Y,Work,Center B,212,Certified,Australia,Yes,6,No,2,47,Rejected
144,India,8/21/2025 13:31,Bachelor's,Y,N,Student,Center A,154,Certified,Canada,,,No,1,48,Rejected
145,India,6/16/2025 1:05,Diploma,Y,N,Business,Center D,288,Denied,USA,,,No,0,30,Rejected
146,India,1/1/2024 16:58,High School,N,N,Business,Center D,328,Denied,Singapore,,,No,2,31,Rejected
147,India,2/10/2026 10:50,Diploma,N,N,Business,Center B,339,Certified,Singapore,,,Yes,1,55,Pending
148,India,4/28/2024 22:03,Bachelor's,Y,N,Work,Center A,320,Certified,UAE,Yes,3,No,0,40,Rejected
149,India,5/30/2024 17:25,Diploma,Y,Y,Business,Center B,218,Denied,Germany,,,Yes,1,32,Pending
150,India,7/13/2024 15:16,PhD,N,N,Tourist,Center C,352,Certified,UK,,,Yes,0,30,Pending
151,India,3/29/2024 14:21,Master's,Y,N,Business,Center C,334,Certified,Australia,,,No,0,22,Rejected
152,India,3/13/2025 15:54,High School,Y,N,Business,Center B,298,Certified,UAE,,,No,1,13,Rejected
153,India,6/27/2024 11:37,PhD,Y,Y,Work,Center C,230,Certified,UK,No,13,No,0,25,Rejected
154,India,10/7/2024 5:08,High School,Y,N,Work,Center C,9,Certified,UK,Yes,11,No,2,58,Rejected
155,India,2/25/2026 3:13,Diploma,Y,Y,Work,Center B,23,Certified,USA,No,10,Yes,0,29,Pending
156,India,1/25/2025 23:15,Master's,N,N,Student,Center B,267,Denied,UK,,,No,1,16,Rejected
157,India,5/13/2024 4:11,Bachelor's,Y,N,Student,Center D,68,Certified,Germany,,,No,2,7,Rejected
158,India,8/25/2024 23:08,Bachelor's,Y,Y,Work,Center C,10,Certified,Singapore,Yes,12,No,2,37,Rejected
159,India,3/30/2024 12:21,High School,Y,N,Business,Center A,238,Certified,UAE,,,No,2,50,Rejected
160,India,3/6/2024 16:18,Diploma,Y,N,Work,Center A,149,Certified,UK,No,1,Yes,1,46,Pending
161,India,4/10/2024 5:02,Bachelor's,Y,Y,Tourist,Center A,329,Denied,USA,,,Yes,1,30,Pending
162,India,4/9/2025 20:35,Master's,Y,N,Business,Center C,34,Certified,Germany,,,No,0,19,Rejected
163,India,5/26/2025 4:17,Master's,N,N,Business,Center A,65,Certified,Canada,,,Yes,0,38,Pending
164,India,2/28/2026 16:11,PhD,N,N,Work,Center A,327,Certified,Singapore,Yes,3,Yes,1,33,Pending
165,India,7/31/2025 14:44,Bachelor's,Y,N,Business,Center C,98,Certified,Singapore,,,No,1,7,Rejected
166,India,4/15/2025 13:47,Diploma,Y,N,Business,Center A,63,Certified,UAE,,,No,2,21,Rejected
167,India,3/18/2024 1:58,Master's,N,N,Tourist,Center A,341,Certified,Singapore,,,No,0,34,Rejected
168,India,12/29/2024 4:11,Bachelor's,Y,N,Tourist,Center B,74,Certified,UK,,,No,0,12,Rejected
169,India,12/30/2025 9:44,PhD,Y,N,Work,Center D,195,Certified,USA,Yes,1,Yes,0,14,Approved
170,India,2/28/2025 0:20,PhD,Y,N,Business,Center C,246,Certified,Singapore,,,Yes,1,31,Pending
171,India,8/12/2024 22:09,Bachelor's,Y,Y,Student,Center D,130,Certified,Singapore,,,Yes,2,17,Rejected
172,India,7/14/2024 10:54,High School,Y,Y,Tourist,Center A,234,Certified,Canada,,,Yes,2,32,Rejected
173,India,2/15/2025 14:30,Bachelor's,Y,N,Student,Center D,356,Certified,Canada,,,Yes,2,39,Rejected
174,India,2/11/2025 13:31,Master's,Y,Y,Student,Center B,303,Certified,Australia,,,Yes,0,59,Pending
175,India,2/17/2025 5:34,Bachelor's,N,N,Student,Center C,319,Certified,Germany,,,Yes,2,14,Rejected
176,India,4/18/2025 11:56,Bachelor's,Y,N,Tourist,Center B,326,Certified,UK,,,Yes,2,48,Rejected
177,India,12/27/2025 4:58,Master's,Y,Y,Tourist,Center D,342,Certified,Singapore,,,No,2,20,Rejected
178,India,10/31/2025 1:06,PhD,Y,N,Business,Center B,168,Certified,Singapore,,,No,2,50,Rejected
179,India,3/15/2024 2:53,Diploma,Y,N,Work,Center A,114,Certified,USA,No,9,No,0,8,Rejected
180,India,8/24/2025 3:34,Master's,Y,N,Business,Center A,149,Denied,Australia,,,Yes,0,31,Pending
181,India,1/20/2025 1:04,PhD,N,N,Tourist,Center B,182,Certified,Germany,,,No,0,27,Rejected
182,India,9/1/2024 9:00,Bachelor's,Y,N,Business,Center B,147,Certified,Australia,,,No,2,33,Rejected
183,India,4/30/2024 14:59,Diploma,N,N,Work,Center A,25,Certified,UAE,Yes,10,Yes,2,54,Rejected
184,India,5/30/2024 6:53,PhD,Y,N,Business,Center B,259,Certified,Germany,,,Yes,2,21,Rejected
185,India,6/19/2024 21:22,Diploma,Y,N,Tourist,Center D,308,Certified,Singapore,,,No,2,25,Rejected
186,India,8/6/2025 8:49,Bachelor's,Y,N,Student,Center C,339,Certified,Singapore,,,Yes,2,59,Rejected
187,India,9/14/2025 10:03,Bachelor's,N,Y,Business,Center A,113,Certified,Germany,,,No,2,42,Rejected
188,India,5/21/2025 22:39,Bachelor's,Y,Y,Tourist,Center B,229,Certified,Singapore,,,No,0,32,Rejected
189,India,4/26/2024 6:57,Master's,N,Y,Student,Center D,108,Certified,UK,,,No,0,45,Rejected
190,India,2/15/2025 19:40,Bachelor's,N,N,Tourist,Center C,299,Certified,Germany,,,No,0,35,Rejected
191,India,1/29/2025 18:43,Master's,N,Y,Business,Center D,271,Certified,Australia,,,No,0,12,Rejected
192,India,5/2/2025 3:52,High School,Y,Y,Student,Center B,274,Certified,Germany,,,No,0,9,Rejected
193,India,7/4/2024 14:53,Master's,N,N,Business,Center D,244,Certified,Singapore,,,No,0,31,Rejected
194,India,8/22/2024 17:48,Diploma,Y,N,Work,Center B,61,Certified,UK,No,3,Yes,0,19,Approved
195,India,10/29/2025 0:42,High School,N,Y,Student,Center C,345,Certified,UK,,,Yes,1,29,Pending
196,India,6/22/2025 7:42,High School,N,Y,Student,Center B,267,Certified,UAE,,,Yes,2,14,Rejected
197,India,1/14/2025 14:30,Bachelor's,N,N,Tourist,Center A,168,Certified,Australia,,,No,2,17,Rejected
198,India,2/6/2025 17:25,Diploma,N,Y,Business,Center A,121,Certified,Canada,,,No,1,42,Rejected
199,India,3/1/2024 0:08,PhD,N,N,Work,Center C,175,Certified,Canada,Yes,6,No,0,43,Rejected
200,India,9/28/2024 9:31,High School,Y,N,Tourist,Center D,191,Certified,Germany,,,No,2,56,Rejected
201,India,10/1/2025 3:59,Diploma,Y,N,Student,Center C,271,Certified,UAE,,,No,0,46,Rejected
202,India,12/24/2024 4:42,PhD,Y,N,Student,Center D,36,Certified,USA,,,No,1,43,Rejected
203,India,5/24/2024 17:07,PhD,Y,N,Student,Center A,322,Denied,Germany,,,No,0,18,Rejected
204,India,9/17/2025 1:42,PhD,Y,N,Student,Center C,262,Certified,UAE,,,Yes,0,17,Approved
205,India,8/23/2025 19:40,Master's,Y,N,Tourist,Center D,191,Denied,Australia,,,Yes,0,8,Approved
206,India,9/26/2025 19:18,Bachelor's,Y,N,Business,Center C,362,Certified,Australia,,,Yes,1,37,Pending
207,India,12/22/2024 20:13,High School,N,N,Business,Center D,334,Certified,Australia,,,No,1,12,Rejected
208,India,9/24/2024 9:03,High School,Y,N,Tourist,Center A,349,Certified,Australia,,,Yes,0,22,Approved
209,India,7/22/2024 8:19,High School,Y,Y,Tourist,Center A,32,Certified,Australia,,,No,2,46,Rejected
210,India,9/25/2025 5:19,Bachelor's,Y,Y,Work,Center A,163,Certified,UAE,No,10,No,1,50,Rejected
211,India,9/22/2025 6:42,PhD,N,N,Business,Center B,45,Denied,UAE,,,No,1,52,Rejected
212,India,4/2/2025 4:30,Diploma,N,Y,Business,Center A,44,Certified,UK,,,Yes,1,12,Approved
213,India,1/18/2025 20:09,Bachelor's,Y,N,Student,Center A,337,Denied,Canada,,,No,2,19,Rejected
214,India,5/10/2024 21:49,Bachelor's,N,N,Business,Center D,227,Certified,Singapore,,,Yes,1,24,Approved
215,India,12/26/2024 11:41,Master's,N,N,Work,Center D,318,Denied,Australia,No,9,No,2,13,Rejected
216,India,9/1/2024 6:26,PhD,Y,Y,Student,Center A,238,Certified,USA,,,No,2,34,Rejected
217,India,9/8/2024 14:42,PhD,N,N,Tourist,Center D,304,Certified,Singapore,,,No,1,22,Rejected
218,India,5/12/2024 18:36,High School,N,N,Student,Center D,252,Denied,UAE,,,Yes,2,37,Rejected
219,India,8/14/2024 13:58,Bachelor's,N,Y,Student,Center B,164,Certified,USA,,,Yes,1,47,Pending
220,India,8/6/2024 11:40,PhD,Y,Y,Business,Center B,66,Certified,USA,,,Yes,2,50,Rejected
221,India,6/27/2025 1:00,Bachelor's,Y,N,Work,Center C,312,Certified,USA,No,6,No,0,40,Rejected
222,India,10/1/2024 8:47,PhD,Y,N,Tourist,Center D,43,Certified,UK,,,No,1,39,Rejected
223,India,10/3/2025 5:56,PhD,Y,Y,Student,Center C,130,Certified,UAE,,,No,2,14,Rejected
224,India,9/29/2024 2:01,Diploma,N,Y,Business,Center C,54,Denied,USA,,,Yes,2,42,Rejected
225,India,4/18/2024 20:40,High School,Y,N,Tourist,Center C,158,Certified,Australia,,,Yes,2,33,Rejected
226,India,3/8/2024 17:59,High School,Y,N,Work,Center C,347,Certified,Germany,No,10,Yes,1,53,Pending
227,India,10/15/2024 17:55,PhD,Y,N,Student,Center A,36,Certified,USA,,,No,0,26,Rejected
228,India,7/15/2025 5:46,High School,Y,N,Student,Center C,114,Certified,UK,,,No,2,9,Rejected
229,India,3/14/2025 3:36,PhD,Y,N,Business,Center A,78,Certified,Singapore,,,Yes,2,59,Rejected
230,India,7/17/2025 8:20,Diploma,N,N,Student,Center C,351,Certified,UAE,,,Yes,2,33,Rejected
231,India,1/25/2026 17:08,Bachelor's,Y,Y,Business,Center A,318,Certified,UK,,,Yes,2,51,Rejected
232,India,1/23/2024 22:58,High School,Y,Y,Business,Center D,173,Certified,USA,,,No,0,41,Rejected
233,India,7/30/2024 19:01,PhD,N,N,Business,Center A,268,Certified,UAE,,,Yes,0,53,Pending
234,India,5/19/2025 4:53,Bachelor's,Y,N,Student,Center C,224,Certified,Germany,,,Yes,0,52,Pending
235,India,11/1/2024 3:40,PhD,Y,Y,Business,Center D,328,Certified,USA,,,Yes,2,27,Rejected
236,India,11/5/2025 3:15,High School,Y,Y,Tourist,Center A,90,Certified,UK,,,No,1,13,Rejected
237,India,11/10/2024 14:05,Bachelor's,Y,N,Work,Center B,140,Certified,Canada,No,0,No,0,10,Rejected
238,India,5/11/2024 2:10,PhD,Y,N,Work,Center D,98,Certified,Australia,No,2,Yes,0,9,Approved
239,India,12/17/2025 0:30,Diploma,N,Y,Student,Center A,248,Certified,Singapore,,,Yes,1,55,Pending
240,India,9/22/2025 0:44,High School,N,Y,Work,Center C,268,Certified,UK,No,4,Yes,2,57,Rejected
241,India,1/19/2025 21:44,Diploma,Y,N,Work,Center C,315,Certified,UAE,Yes,3,Yes,1,19,Approved
242,India,7/22/2025 10:48,Master's,N,Y,Tourist,Center B,158,Certified,USA,,,Yes,0,29,Pending
243,India,7/3/2024 0:47,High School,N,Y,Tourist,Center A,229,Certified,Australia,,,Yes,0,36,Pending
244,India,4/17/2025 10:57,Diploma,Y,Y,Business,Center B,311,Certified,USA,,,No,2,44,Rejected
