case_number,employer_name,job_title,salary,case_received_date,decision_date,case_status,work_city,work_state
CASE100021,DataWorks,Data Analyst,40296,2019-02-12,2021-04-10,Approved,Bangalore,KA
CASE100022,NextGen,Data Analyst,107945,2021-07-16,2022-11-26,Approved,Chennai,KA
CASE100023,TechCorp,Consultant,99980,2021-04-09,2018-05-28,Approved,Mumbai,TN
CASE100024,TechCorp,AI Engineer,96782,2023-05-03,2019-01-30,Approved,Mumbai,MH
CASE100025,GlobalSoft,Consultant,136382,2022-05-27,2023-07-05,Approved,Pune,KA
CASE100026,GlobalSoft,Project Manager,93444,2019-11-22,2018-06-15,Pending,Pune,AP
CASE100027,InfoSys,Data Analyst,75036,2018-06-19,2021-02-04,Approved,Chennai,TS
CASE100028,NextGen,Consultant,79322,2018-06-08,2023-03-17,Approved,Mumbai,MH
CASE100029,NextGen,Project Manager,91667,2022-03-13,2018-02-17,Approved,Pune,AP
CASE100030,GlobalSoft,Consultant,134527,2019-03-23,2023-04-05,Pending,Pune,TS
CASE100031,NextGen,AI Engineer,123337,2022-08-17,2018-08-23,Denied,Mumbai,AP
CASE100032,NextGen,AI Engineer,91468,2023-04-22,2019-06-13,Denied,Mumbai,MH
CASE100033,TechCorp,AI Engineer,112894,2020-10-14,2019-09-17,Approved,Hyderabad,TN
CASE100034,GlobalSoft,AI Engineer,103138,2021-01-10,2019-08-15,Approved,Pune,TS
CASE100035,DataWorks,Software Engineer,62588,2020-12-16,2021-08-27,Approved,Chennai,AP
CASE100036,GlobalSoft,Project Manager,102901,2022-03-23,2019-11-01,Approved,Bangalore,AP
CASE100037,DataWorks,Project Manager,123038,2018-04-22,2023-05-11,Approved,Bangalore,MH
CASE100038,TechCorp,AI Engineer,178709,2018-02-17,2018-12-11,Pending,Mumbai,MH
CASE100039,InfoSys,Software Engineer,171732,2022-06-04,2020-07-19,Approved,Chennai,MH
CASE100040,NextGen,AI Engineer,147211,2023-03-26,2022-11-16,Approved,Hyderabad,TN
CASE100041,TechCorp,Software Engineer,46922,2019-01-11,2020-04-13,Denied,Pune,KA
CASE100042,NextGen,AI Engineer,133697,2020-04-07,2022-05-10,Approved,Hyderabad,AP
CASE100043,InfoSys,Data Analyst,157217,2018-02-02,2022-01-22,Approved,Chennai,TN
CASE100044,InfoSys,Data Analyst,109506,2019-05-19,2021-06-27,Approved,Hyderabad,AP
CASE100045,TechCorp,Consultant,164338,2019-09-19,2022-08-28,Approved,Mumbai,TN
CASE100046,InfoSys,AI Engineer,67843,2023-04-04,2023-08-20,Denied,Bangalore,TS
CASE100047,DataWorks,Project Manager,143064,2020-10-23,2022-12-04,Approved,Mumbai,KA
CASE100048,InfoSys,Consultant,166417,2022-02-18,2023-07-24,Denied,Pune,AP
CASE100049,NextGen,Data Analyst,156585,2022-03-20,2021-01-24,Denied,Mumbai,MH
CASE100050,NextGen,AI Engineer,70346,2023-03-07,2022-01-16,Denied,Chennai,KA
CASE100051,NextGen,Consultant,163152,2022-12-01,2021-04-14,Approved,Chennai,AP
CASE100052,NextGen,AI Engineer,151769,2018-02-11,2019-10-07,Approved,Pune,TS
CASE100053,DataWorks,Data Analyst,142391,2018-01-09,2019-02-21,Approved,Pune,AP
CASE100054,GlobalSoft,Consultant,113143,2020-09-26,2021-12-06,Approved,Bangalore,AP
CASE100055,TechCorp,Data Analyst,76787,2020-03-29,2018-06-03,Denied,Hyderabad,AP
CASE100056,NextGen,Software Engineer,73583,2019-10-19,2023-01-18,Approved,Bangalore,KA
CASE100057,InfoSys,Data Analyst,161943,2023-04-21,2022-07-13,Denied,Mumbai,AP
CASE100058,NextGen,AI Engineer,151233,2022-06-21,2021-04-26,Approved,Hyderabad,MH
CASE100059,InfoSys,Project Manager,54925,2022-12-17,2020-01-28,Approved,Pune,TN
CASE100060,InfoSys,Data Analyst,123184,2021-03-11,2021-03-17,Denied,Chennai,MH
CASE100061,NextGen,Project Manager,116515,2020-02-29,2019-01-24,Approved,Mumbai,TS
CASE100062,DataWorks,Software Engineer,176427,2021-12-30,2019-04-18,Denied,Bangalore,KA
CASE100063,InfoSys,Consultant,86069,2020-11-16,2020-09-29,Approved,Pune,TN
CASE100064,InfoSys,Consultant,140854,2020-12-02,2019-01-26,Pending,Hyderabad,KA
CASE100065,NextGen,Project Manager,94471,2021-02-28,2020-06-01,Approved,Hyderabad,KA
CASE100066,InfoSys,Consultant,72705,2021-05-24,2022-07-13,Denied,Chennai,AP
CASE100067,InfoSys,Data Analyst,168501,2022-06-18,2022-06-30,Approved,Pune,MH
CASE100068,NextGen,Project Manager,156361,2022-03-24,2022-11-22,Approved,Pune,TN
CASE100069,NextGen,AI Engineer,127273,2019-08-21,2020-11-19,Pending,Mumbai,AP
CASE100070,TechCorp,Data Analyst,63241,2021-09-30,2023-04-22,Denied,Mumbai,TN
CASE100071,DataWorks,Data Analyst,90818,2022-03-12,2023-05-15,Approved,Hyderabad,MH
CASE100072,DataWorks,Data Analyst,132307,2022-08-01,2018-09-28,Approved,Bangalore,AP
CASE100073,InfoSys,AI Engineer,106920,2023-03-20,2019-11-27,Approved,Hyderabad,TN
CASE100074,DataWorks,Software Engineer,158642,2021-12-07,2021-04-10,Approved,Mumbai,AP
CASE100075,InfoSys,Consultant,105453,2020-07-24,2020-10-02,Denied,Mumbai,KA
CASE100076,TechCorp,Project Manager,62689,2021-06-23,2023-09-01,Approved,Mumbai,TS
CASE100077,NextGen,Software Engineer,179324,2022-01-12,2023-10-10,Approved,Hyderabad,TN
CASE100078,NextGen,Project Manager,70844,2020-10-08,2018-09-10,Approved,Pune,MH
CASE100079,NextGen,Consultant,135687,2018-01-21,2023-02-01,Approved,Bangalore,TN
CASE100080,DataWorks,AI Engineer,63365,2020-09-25,2021-08-28,Denied,Bangalore,TS
CASE100081,TechCorp,Data Analyst,177098,2021-12-02,2020-03-28,Pending,Mumbai,TN
CASE100082,DataWorks,Data Analyst,138303,2019-04-02,2019-08-09,Approved,Chennai,TN
CASE100083,DataWorks,AI Engineer,68523,2022-01-07,2023-11-10,Denied,Hyderabad,TN
CASE100084,TechCorp,Software Engineer,152105,2020-10-10,2020-05-26,Approved,Pune,MH
CASE100085,TechCorp,Software Engineer,88888,2023-04-30,2021-01-29,Approved,Mumbai,TS
CASE100086,TechCorp,Project Manager,153884,2018-09-22,2022-05-09,Approved,Chennai,TS
CASE100087,TechCorp,AI Engineer,146968,2022-08-11,2018-06-19,Approved,Mumbai,MH
CASE100088,NextGen,Software Engineer,90110,2018-07-03,2021-10-25,Approved,Chennai,TN
CASE100089,GlobalSoft,AI Engineer,171565,2018-08-15,2019-09-12,Approved,Bangalore,TN
CASE100090,GlobalSoft,Consultant,122001,2023-01-02,2022-11-15,Denied,Chennai,TS
CASE100091,TechCorp,Data Analyst,79767,2022-04-21,2019-07-25,Denied,Bangalore,TN
CASE100092,GlobalSoft,Data Analyst,69550,2021-06-23,2018-11-17,Pending,Bangalore,KA
CASE100093,GlobalSoft,Data Analyst,174042,2021-01-01,2023-10-22,Approved,Hyderabad,TN
CASE100094,TechCorp,AI Engineer,138315,2021-03-19,2021-07-09,Approved,Chennai,TN
CASE100095,GlobalSoft,AI Engineer,135494,2022-03-17,2021-06-19,Approved,Pune,AP
CASE100096,DataWorks,Project Manager,167424,2020-12-28,2018-02-07,Approved,Pune,TS
CASE100097,InfoSys,Data Analyst,153855,2020-08-26,2022-08-15,Approved,Chennai,TS
CASE100098,InfoSys,Project Manager,122681,2020-03-15,2019-05-28,Approved,Hyderabad,KA
CASE100099,TechCorp,Data Analyst,141489,2021-06-07,2023-10-21,Approved,Pune,KA
CASE100100,NextGen,Project Manager,170546,2019-12-24,2018-12-29,Approved,Mumbai,KA
CASE100101,TechCorp,Project Manager,68900,2020-12-31,2021-07-10,Approved,Pune,TS
CASE100102,NextGen,Consultant,54126,2020-09-28,2020-12-05,Approved,Hyderabad,AP
CASE100103,InfoSys,Project Manager,151198,2020-05-24,2023-11-17,Approved,Bangalore,AP
CASE100104,TechCorp,AI Engineer,119303,2022-06-20,2023-11-01,Approved,Bangalore,MH
CASE100105,DataWorks,Project Manager,107061,2021-11-21,2019-12-16,Denied,Bangalore,TS
CASE100106,GlobalSoft,Data Analyst,56978,2018-03-25,2020-10-20,Approved,Hyderabad,MH
CASE100107,NextGen,Project Manager,96344,2020-01-10,2023-01-02,Denied,Bangalore,TN
CASE100108,GlobalSoft,Software Engineer,86648,2021-08-15,2023-01-29,Approved,Bangalore,KA
CASE100109,GlobalSoft,Data Analyst,41055,2022-11-07,2023-01-10,Approved,Hyderabad,MH
CASE100110,TechCorp,Software Engineer,115582,2021-08-09,2022-09-29,Denied,Mumbai,MH
CASE100111,GlobalSoft,Data Analyst,121214,2022-10-24,2018-04-03,Approved,Pune,TS
CASE100112,DataWorks,AI Engineer,147954,2023-06-17,2018-10-18,Approved,Hyderabad,KA
CASE100113,GlobalSoft,AI Engineer,78725,2018-08-11,2020-06-06,Denied,Hyderabad,KA
CASE100114,TechCorp,AI Engineer,176327,2020-03-03,2021-07-17,Approved,Chennai,AP
CASE100115,DataWorks,Software Engineer,93380,2020-01-03,2022-02-27,Approved,Bangalore,MH
CASE100116,InfoSys,Consultant,93333,2021-05-24,2021-03-06,Denied,Mumbai,AP
CASE100117,GlobalSoft,Data Analyst,82459,2021-06-08,2023-08-23,Denied,Chennai,MH
CASE100118,TechCorp,AI Engineer,156518,2019-02-09,2018-07-29,Approved,Mumbai,TS
CASE100119,InfoSys,Data Analyst,76163,2021-04-07,2019-01-20,Approved,Bangalore,TS
CASE100120,InfoSys,Software Engineer,124730,2018-11-25,2020-08-21,Denied,Bangalore,TN
CASE100121,NextGen,Consultant,59476,2019-03-02,2019-09-11,Approved,Bangalore,MH
CASE100122,DataWorks,Software Engineer,108580,2022-04-27,2022-11-26,Approved,Pune,MH
CASE100123,GlobalSoft,Data Analyst,145576,2020-02-09,2019-09-27,Approved,Mumbai,KA
CASE100124,TechCorp,Consultant,126593,2021-05-04,2018-07-23,Pending,Mumbai,KA
CASE100125,NextGen,Consultant,149071,2023-04-12,2019-01-19,Approved,Chennai,AP
CASE100126,DataWorks,Software Engineer,154832,2019-08-31,2021-09-30,Denied,Hyderabad,TN
CASE100127,NextGen,AI Engineer,178579,2023-01-27,2019-04-09,Approved,Bangalore,TS
CASE100128,DataWorks,Data Analyst,108682,2019-06-10,2018-10-16,Approved,Bangalore,MH
CASE100129,DataWorks,Project Manager,131713,2019-09-17,2020-06-16,Denied,Chennai,AP
CASE100130,GlobalSoft,Project Manager,144060,2018-03-18,2023-09-14,Pending,Mumbai,TN
CASE100131,DataWorks,Software Engineer,175486,2021-07-24,2023-07-27,Approved,Pune,KA
CASE100132,NextGen,Data Analyst,123030,2020-07-08,2019-09-18,Approved,Mumbai,TN
CASE100133,DataWorks,Data Analyst,160360,2020-08-03,2022-08-26,Pending,Pune,AP
CASE100134,GlobalSoft,Software Engineer,125973,2019-04-11,2019-02-28,Approved,Pune,TS
CASE100135,GlobalSoft,Data Analyst,175009,2023-05-19,2019-01-01,Approved,Mumbai,KA
CASE100136,NextGen,AI Engineer,76731,2022-01-11,2023-11-11,Approved,Bangalore,KA
CASE100137,InfoSys,Software Engineer,154360,2021-09-05,2018-03-15,Denied,Pune,TS
CASE100138,InfoSys,AI Engineer,41750,2023-04-30,2020-06-02,Denied,Chennai,KA
CASE100139,DataWorks,Data Analyst,105018,2021-03-29,2018-11-01,Pending,Chennai,AP
CASE100140,TechCorp,Software Engineer,175099,2019-05-07,2019-04-01,Approved,Pune,KA
CASE100141,DataWorks,Data Analyst,176817,2018-11-09,2019-05-28,Approved,Bangalore,MH
CASE100142,NextGen,Software Engineer,126984,2022-07-13,2018-09-01,Approved,Pune,TN
CASE100143,NextGen,Data Analyst,147983,2023-05-27,2023-11-27,Approved,Chennai,AP
CASE100144,NextGen,AI Engineer,68451,2021-03-30,2018-06-18,Approved,Chennai,TS
CASE100145,NextGen,AI Engineer,133743,2018-11-04,2020-09-06,Approved,Mumbai,AP
CASE100146,NextGen,Data Analyst,111474,2023-03-02,2018-05-08,Approved,Bangalore,MH
CASE100147,GlobalSoft,Software Engineer,52150,2021-03-15,2019-11-25,Approved,Mumbai,KA
CASE100148,InfoSys,Project Manager,53406,2022-08-26,2021-01-08,Approved,Hyderabad,KA
CASE100149,NextGen,AI Engineer,156047,2021-11-20,2019-05-24,Denied,Pune,AP
CASE100150,TechCorp,AI Engineer,163971,2019-11-22,2021-01-16,Approved,Mumbai,KA
CASE100151,TechCorp,Project Manager,143157,2018-03-30,2018-07-11,Approved,Bangalore,KA
CASE100152,TechCorp,Data Analyst,58325,2020-01-05,2022-03-11,Approved,Pune,MH
CASE100153,TechCorp,Software Engineer,134415,2020-02-17,2022-01-20,Denied,Pune,TS
CASE100154,GlobalSoft,Data Analyst,57669,2020-01-21,2019-03-01,Approved,Pune,TN
CASE100155,TechCorp,Consultant,167385,2021-08-24,2020-04-10,Approved,Pune,AP
CASE100156,NextGen,AI Engineer,112010,2022-04-19,2018-08-04,Approved,Pune,TS
CASE100157,DataWorks,Consultant,172915,2019-01-06,2019-08-11,Approved,Bangalore,TN
CASE100158,TechCorp,AI Engineer,90812,2019-03-27,2023-07-04,Denied,Hyderabad,TS
CASE100159,GlobalSoft,AI Engineer,56059,2018-06-16,2019-04-21,Approved,Chennai,AP
CASE100160,GlobalSoft,Consultant,126269,2019-01-27,2020-05-09,Approved,Hyderabad,MH
CASE100161,TechCorp,Consultant,65395,2022-07-19,2023-12-05,Approved,Chennai,MH
CASE100162,DataWorks,Data Analyst,60202,2020-01-06,2021-07-26,Approved,Mumbai,MH
CASE100163,TechCorp,Consultant,143235,2019-05-06,2023-01-18,Approved,Pune,TS
CASE100164,GlobalSoft,Data Analyst,85510,2020-07-13,2019-06-30,Approved,Mumbai,AP
CASE100165,InfoSys,Data Analyst,127945,2021-03-19,2022-06-19,Denied,Mumbai,KA
CASE100166,NextGen,Data Analyst,110649,2022-01-31,2020-09-03,Denied,Chennai,KA
CASE100167,GlobalSoft,AI Engineer,146723,2023-06-13,2021-06-09,Denied,Bangalore,MH
CASE100168,TechCorp,AI Engineer,42881,2022-09-21,2022-06-17,Approved,Pune,TS
CASE100169,NextGen,Consultant,85913,2020-12-02,2022-09-05,Approved,Mumbai,KA
CASE100170,TechCorp,AI Engineer,151860,2020-08-02,2020-02-25,Approved,Hyderabad,TS
CASE100171,TechCorp,Consultant,124785,2018-01-29,2018-12-21,Approved,Pune,AP
CASE100172,InfoSys,AI Engineer,102457,2023-03-13,2019-12-18,Approved,Bangalore,MH
CASE100173,NextGen,Software Engineer,179728,2022-07-14,2022-03-09,Pending,Pune,TN
CASE100174,NextGen,Software Engineer,45741,2023-02-16,2022-09-15,Approved,Mumbai,MH
CASE100175,InfoSys,Consultant,137091,2020-11-20,2023-07-23,Pending,Hyderabad,TN
CASE100176,GlobalSoft,AI Engineer,68690,2019-11-24,2020-06-16,Approved,Mumbai,KA
CASE100177,TechCorp,AI Engineer,72833,2022-08-25,2018-09-04,Approved,Bangalore,TN
CASE100178,DataWorks,Data Analyst,142566,2018-05-08,2020-10-27,Approved,Chennai,TS
CASE100179,TechCorp,Project Manager,111240,2020-02-06,2023-07-12,Approved,Hyderabad,TN
CASE100180,TechCorp,Consultant,146898,2021-08-10,2020-08-19,Approved,Bangalore,KA
CASE100181,GlobalSoft,Project Manager,117711,2019-03-17,2023-08-05,Denied,Bangalore,KA
CASE100182,TechCorp,Project Manager,79023,2020-05-18,2018-09-27,Denied,Mumbai,MH
CASE100183,InfoSys,Consultant,80209,2021-11-12,2021-05-24,Approved,Mumbai,KA
CASE100184,InfoSys,AI Engineer,133590,2022-11-25,2018-03-19,Approved,Mumbai,TS
CASE100185,NextGen,Consultant,126612,2022-07-24,2021-07-02,Pending,Chennai,TN
CASE100186,DataWorks,Project Manager,120522,2019-06-08,2021-04-12,Denied,Pune,AP
CASE100187,TechCorp,AI Engineer,151654,2022-04-20,2020-06-23,Approved,Pune,KA
CASE100188,TechCorp,Software Engineer,159107,2022-09-30,2023-04-12,Denied,Mumbai,TN
CASE100189,GlobalSoft,Consultant,179032,2020-01-30,2019-10-17,Approved,Mumbai,MH
CASE100190,InfoSys,Consultant,62462,2018-04-20,2023-03-05,Approved,Chennai,AP
CASE100191,DataWorks,AI Engineer,57821,2021-09-13,2023-06-24,Approved,Pune,MH
CASE100192,NextGen,Software Engineer,132889,2021-11-29,2019-09-23,Approved,Chennai,TS
CASE100193,InfoSys,Software Engineer,128952,2021-06-22,2023-05-28,Approved,Bangalore,MH
CASE100194,NextGen,AI Engineer,158066,2022-11-21,2023-01-21,Approved,Pune,TN
CASE100195,GlobalSoft,Data Analyst,119364,2023-03-17,2023-10-15,Approved,Mumbai,AP
CASE100196,GlobalSoft,Consultant,110077,2023-01-27,2022-08-06,Pending,Hyderabad,MH
CASE100197,TechCorp,Consultant,80644,2018-06-12,2023-02-01,Pending,Bangalore,MH
CASE100198,DataWorks,Project Manager,102643,2019-07-14,2018-09-10,Approved,Hyderabad,TS
CASE100199,NextGen,AI Engineer,53311,2019-02-03,2022-11-12,Approved,Chennai,TN
CASE100200,InfoSys,Project Manager,169466,2019-08-06,2019-07-14,Approved,Chennai,MH
CASE100201,GlobalSoft,Project Manager,70531,2019-02-03,2018-06-13,Approved,Chennai,TN
CASE100202,TechCorp,Software Engineer,54588,2022-02-25,2019-02-25,Approved,Mumbai,KA
CASE100203,TechCorp,Consultant,89416,2022-07-28,2018-05-12,Approved,Chennai,TS
CASE100204,NextGen,Project Manager,61711,2018-08-27,2023-09-02,Approved,Hyderabad,TS
CASE100205,GlobalSoft,Software Engineer,176169,2022-01-28,2023-07-24,Approved,Bangalore,TS
CASE100206,DataWorks,AI Engineer,156348,2022-05-23,2020-09-05,Approved,Mumbai,TN
CASE100207,GlobalSoft,Project Manager,62076,2022-12-19,2022-05-18,Denied,Bangalore,MH
CASE100208,NextGen,Consultant,124274,2020-11-21,2020-05-20,Approved,Chennai,MH
CASE100209,NextGen,Project Manager,97609,2021-02-20,2023-09-15,Approved,Pune,TN
CASE100210,GlobalSoft,AI Engineer,98480,2022-04-07,2018-08-12,Approved,Mumbai,TN
CASE100211,NextGen,Project Manager,47044,2022-08-18,2020-02-11,Approved,Chennai,KA
CASE100212,GlobalSoft,Consultant,95486,2018-04-20,2019-05-18,Approved,Mumbai,AP
CASE100213,InfoSys,Software Engineer,95162,2021-07-18,2018-03-09,Denied,Pune,AP
CASE100214,GlobalSoft,Consultant,69882,2021-11-04,2022-09-25,Approved,Hyderabad,TS
CASE100215,GlobalSoft,Software Engineer,94078,2018-10-27,2019-05-16,Denied,Hyderabad,MH
CASE100216,NextGen,Data Analyst,98734,2022-07-09,2022-03-24,Approved,Hyderabad,TS
CASE100217,NextGen,Consultant,148730,2022-10-22,2020-11-08,Approved,Pune,MH
CASE100218,TechCorp,Consultant,127985,2020-09-28,2022-12-19,Approved,Bangalore,MH
CASE100219,TechCorp,AI Engineer,84028,2022-11-01,2023-06-20,Approved,Pune,KA
CASE100220,InfoSys,Project Manager,138938,2020-02-03,2018-05-13,Approved,Pune,TN
CASE100221,TechCorp,Software Engineer,158319,2018-09-06,2022-10-31,Pending,Chennai,TN
CASE100222,GlobalSoft,Software Engineer,72543,2019-06-05,2022-11-01,Approved,Hyderabad,TN
CASE100223,NextGen,AI Engineer,164279,2018-02-03,2018-03-13,Approved,Mumbai,AP
CASE100224,TechCorp,AI Engineer,69362,2018-08-16,2023-11-14,Denied,Bangalore,TN
CASE100225,TechCorp,Project Manager,82915,2019-08-08,2018-08-11,Approved,Mumbai,AP
CASE100226,InfoSys,Project Manager,91370,2021-11-23,2020-12-27,Approved,Chennai,TS
CASE100227,InfoSys,Consultant,151375,2020-08-15,2022-09-03,Approved,Chennai,AP
CASE100228,GlobalSoft,Data Analyst,109812,2020-03-23,2018-12-22,Approved,Bangalore,MH
CASE100229,NextGen,Project Manager,74017,2019-12-25,2021-02-24,Approved,Mumbai,KA
CASE100230,InfoSys,AI Engineer,96792,2019-08-07,2018-05-18,Approved,Bangalore,KA
CASE100231,TechCorp,Project Manager,169198,2019-07-24,2021-02-01,Approved,Bangalore,MH
CASE100232,NextGen,Software Engineer,57629,2018-08-08,2018-12-31,Approved,Hyderabad,TS
CASE100233,NextGen,Data Analyst,168614,2021-10-26,2023-05-27,Approved,Mumbai,KA
CASE100234,TechCorp,Consultant,179317,2020-02-26,2023-09-01,Approved,Hyderabad,MH
CASE100235,InfoSys,Software Engineer,136950,2022-11-20,2020-04-13,Approved,Hyderabad,KA
CASE100236,TechCorp,Software Engineer,104829,2019-06-12,2023-02-22,Pending,Hyderabad,AP
CASE100237,NextGen,Data Analyst,50588,2018-03-16,2020-03-07,Approved,Pune,KA
CASE100238,DataWorks,Consultant,171514,2022-06-30,2021-07-31,Denied,Chennai,AP
CASE100239,DataWorks,AI Engineer,145280,2018-05-16,2021-12-09,Approved,Chennai,AP
CASE100240,GlobalSoft,Consultant,80721,2023-05-07,2022-02-27,Approved,Pune,KA
CASE100241,TechCorp,Project Manager,50599,2018-03-15,2018-03-05,Approved,Bangalore,KA
CASE100242,TechCorp,Software Engineer,112594,2018-09-11,2020-05-16,Denied,Mumbai,AP
CASE100243,GlobalSoft,Project Manager,174011,2020-11-07,2023-08-17,Approved,Mumbai,KA
CASE100244,GlobalSoft,AI Engineer,62149,2023-05-09,2022-07-28,Denied,Mumbai,TS
CASE100245,GlobalSoft,Project Manager,167616,2020-10-18,2020-02-08,Pending,Hyderabad,TN
CASE100246,NextGen,Consultant,149034,2020-12-02,2022-02-28,Approved,Mumbai,TN
CASE100247,TechCorp,Project Manager,60951,2018-02-19,2021-09-19,Approved,Mumbai,MH
CASE100248,NextGen,AI Engineer,86766,2019-05-30,2023-03-31,Approved,Mumbai,TN
CASE100249,GlobalSoft,AI Engineer,97014,2020-01-14,2018-05-27,Approved,Chennai,TS
CASE100250,TechCorp,AI Engineer,127122,2020-01-01,2022-03-15,Approved,Pune,TN
CASE100251,NextGen,Consultant,49308,2019-07-25,2023-08-26,Denied,Bangalore,TN
CASE100252,NextGen,AI Engineer,99252,2022-12-25,2022-09-26,Approved,Pune,TS
CASE100253,GlobalSoft,Software Engineer,123211,2023-01-12,2023-05-08,Approved,Mumbai,AP
CASE100254,TechCorp,AI Engineer,166534,2019-07-30,2022-06-29,Approved,Bangalore,TN
CASE100255,GlobalSoft,Project Manager,48720,2022-05-25,2021-08-30,Pending,Bangalore,MH
CASE100256,TechCorp,Project Manager,166204,2021-08-19,2020-10-02,Approved,Pune,TN
CASE100257,DataWorks,Project Manager,119993,2021-03-11,2023-09-18,Pending,Pune,TN
CASE100258,InfoSys,Consultant,87113,2020-06-21,2020-01-15,Pending,Pune,TS
CASE100259,InfoSys,Project Manager,88926,2018-07-21,2023-05-10,Approved,Pune,TS
CASE100260,InfoSys,Consultant,176464,2018-07-26,2020-05-23,Approved,Hyderabad,MH
CASE100261,GlobalSoft,Consultant,65905,2019-02-19,2019-01-25,Approved,Chennai,KA
CASE100262,DataWorks,AI Engineer,90385,2018-08-09,2019-05-30,Approved,Chennai,TS
CASE100263,TechCorp,Software Engineer,70653,2021-10-17,2021-12-29,Denied,Mumbai,KA
CASE100264,NextGen,AI Engineer,131865,2020-01-28,2023-10-12,Approved,Hyderabad,MH
CASE100265,TechCorp,AI Engineer,165813,2021-01-09,2022-02-27,Approved,Bangalore,TN
CASE100266,NextGen,Consultant,55052,2020-02-02,2019-12-27,Approved,Pune,TN
CASE100267,TechCorp,Consultant,177116,2019-07-17,2019-08-18,Approved,Mumbai,KA
CASE100268,DataWorks,Project Manager,61381,2021-08-01,2023-02-05,Approved,Bangalore,MH
CASE100269,NextGen,Project Manager,123108,2019-01-04,2018-08-20,Approved,Chennai,MH
CASE100270,GlobalSoft,AI Engineer,89892,2022-02-24,2021-05-13,Denied,Bangalore,TS
CASE100271,TechCorp,Data Analyst,131501,2023-04-19,2021-07-21,Approved,Pune,KA
CASE100272,TechCorp,Data Analyst,123391,2020-06-14,2022-02-08,Approved,Pune,TS
CASE100273,NextGen,Project Manager,57920,2021-10-01,2018-04-14,Denied,Chennai,KA
CASE100274,GlobalSoft,Data Analyst,56702,2018-07-23,2018-05-06,Pending,Pune,TS
CASE100275,GlobalSoft,Project Manager,41894,2020-11-14,2023-04-11,Approved,Hyderabad,TS
CASE100276,DataWorks,Consultant,70985,2020-08-14,2018-07-22,Approved,Mumbai,MH
CASE100277,GlobalSoft,AI Engineer,165702,2022-04-26,2023-05-07,Approved,Chennai,MH
CASE100278,GlobalSoft,Software Engineer,113527,2018-03-10,2018-10-15,Approved,Chennai,TN
CASE100279,GlobalSoft,AI Engineer,168676,2019-05-31,2018-12-26,Denied,Bangalore,TN
CASE100280,InfoSys,Project Manager,82235,2022-02-24,2021-07-08,Approved,Chennai,MH
CASE100281,DataWorks,Project Manager,64976,2018-08-28,2018-07-10,Denied,Mumbai,MH
CASE100282,TechCorp,AI Engineer,122643,2018-12-27,2018-08-04,Approved,Hyderabad,TS
CASE100283,NextGen,Project Manager,147631,2022-01-04,2018-06-22,Approved,Bangalore,TN
CASE100284,TechCorp,Data Analyst,96697,2020-11-20,2019-11-01,Approved,Mumbai,MH
CASE100285,DataWorks,Data Analyst,110382,2023-04-07,2023-10-06,Approved,Chennai,KA
CASE100286,NextGen,Project Manager,56651,2022-07-11,2018-08-20,Approved,Pune,KA
CASE100287,DataWorks,Project Manager,54633,2019-12-08,2022-07-03,Approved,Pune,TN
CASE100288,GlobalSoft,Data Analyst,119164,2022-06-14,2019-05-17,Approved,Mumbai,KA
