case_id,continent,country_of_applicant,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,visa_type,application_season,processing_center,processing_time_days,case_status
39,North America,Nigeria,Master's,Y,N,7129,1964,South,131939.46,Yearly,N,Business,Summer,Center C,343,Certified
40,North America,UK,Diploma,N,N,11887,2000,Northeast,110833.61,Weekly,Y,Student,Winter,Center A,273,Certified
41,Asia,Japan,High School,N,N,35420,2005,South,136975.19,Yearly,Y,Business,Winter,Center B,65,Certified
42,Africa,China,Diploma,Y,Y,8997,2006,West,138089.26,Hourly,N,Business,Winter,Center C,255,Certified
43,South America,India,Master's,N,N,39546,2007,South,121155.79,Monthly,Y,Business,Spring,Center D,252,Certified
44,Africa,Nigeria,Bachelor's,N,N,38736,1975,Midwest,147960.32,Weekly,N,Work,Summer,Center B,32,Certified
45,South America,Nigeria,Diploma,Y,N,20586,1975,Midwest,5348.97,Weekly,Y,Student,Spring,Center A,155,Denied
46,Asia,Nigeria,High School,Y,Y,47553,1972,West,10595.31,Yearly,Y,Tourist,Spring,Center A,337,Denied
47,Europe,Nigeria,PhD,Y,N,19658,1987,Midwest,125645.13,Weekly,Y,PR,Fall,Center D,208,Certified
48,North America,UK,Master's,Y,Y,11463,2006,West,34552.16,Yearly,Y,Business,Fall,Center B,158,Certified
49,Asia,Japan,PhD,Y,N,29530,1962,Midwest,597.86,Monthly,Y,Student,Summer,Center A,249,Denied
50,North America,Canada,Master's,Y,Y,7340,1992,Midwest,140009.31,Monthly,Y,Dependent,Fall,Center C,174,Denied
51,Oceania,Australia,Bachelor's,Y,N,28825,1980,West,44957.87,Weekly,Y,Business,Fall,Center B,266,Denied
52,Europe,Australia,High School,N,N,28239,1954,South,120300.2,Yearly,N,PR,Fall,Center C,145,Certified
53,Europe,UAE,PhD,Y,N,49126,1987,West,140335.75,Yearly,Y,Business,Summer,Center C,196,Certified
54,Asia,UK,Diploma,Y,N,14327,2018,West,88176.48,Monthly,Y,Work,Winter,Center D,331,Certified
55,Europe,Nigeria,Master's,Y,N,43077,1966,Northeast,21562.89,Monthly,Y,Dependent,Winter,Center D,110,Certified
56,South America,Canada,PhD,N,Y,34090,1987,Midwest,82387.68,Yearly,Y,Student,Spring,Center A,118,Certified
57,Europe,Nigeria,High School,Y,Y,46617,1981,Northeast,16500.77,Monthly,Y,Tourist,Spring,Center D,156,Certified
58,North America,Nigeria,High School,Y,Y,10434,1984,West,62439.22,Weekly,Y,Tourist,Winter,Center A,312,Denied
59,North America,Canada,Master's,Y,N,42866,2021,South,148354.64,Monthly,Y,Work,Summer,Center C,112,Certified
60,North America,Japan,Bachelor's,N,N,1424,2012,Midwest,8142.34,Hourly,Y,Tourist,Spring,Center B,29,Certified
61,North America,Australia,Diploma,Y,N,13920,1950,Midwest,38367.98,Weekly,N,Work,Fall,Center B,170,Certified
62,South America,Brazil,Diploma,N,N,30146,1981,South,27480.03,Monthly,N,Tourist,Winter,Center C,87,Certified
63,Africa,Brazil,High School,N,N,20148,1992,West,11727.57,Hourly,Y,Student,Winter,Center D,55,Denied
64,Oceania,China,Master's,Y,N,272,1958,Midwest,26914.55,Yearly,Y,Dependent,Spring,Center D,293,Certified
65,Asia,Nigeria,High School,N,N,48831,1990,Midwest,56406.92,Weekly,Y,Work,Spring,Center D,337,Certified
66,North America,Canada,PhD,N,N,43804,2015,Northeast,58899.0,Weekly,Y,Dependent,Summer,Center D,126,Certified
67,Europe,Japan,PhD,Y,Y,24682,2011,Midwest,24552.7,Yearly,Y,Student,Fall,Center C,240,Certified
68,North America,Nigeria,PhD,Y,N,39973,2021,Northeast,117523.87,Monthly,Y,Dependent,Winter,Center A,17,Certified
69,Europe,Japan,Master's,Y,Y,20067,1986,West,131370.62,Monthly,N,Dependent,Summer,Center A,22,Certified
70,Oceania,China,PhD,Y,N,880,1993,Northeast,72942.24,Weekly,Y,PR,Winter,Center C,167,Certified
71,Oceania,UK,Master's,N,Y,18840,1970,Midwest,54366.68,Weekly,Y,Work,Spring,Center A,249,Certified
72,Oceania,India,PhD,Y,N,39529,1982,West,35088.01,Weekly,Y,Tourist,Summer,Center D,271,Denied
73,Europe,Nigeria,PhD,Y,Y,22518,1979,South,47394.61,Monthly,N,Dependent,Fall,Center A,228,Certified
74,North America,Brazil,Master's,N,N,27177,1985,West,102369.54,Monthly,Y,PR,Spring,Center B,244,Certified
75,Oceania,UAE,Master's,Y,Y,49717,2008,West,55106.37,Weekly,Y,Dependent,Spring,Center B,31,Certified
76,South America,Nigeria,Master's,N,Y,23747,1979,Midwest,95614.98,Monthly,N,Work,Fall,Center B,107,Certified
77,Europe,India,Master's,Y,N,25652,2005,Northeast,81596.54,Yearly,Y,Tourist,Summer,Center B,352,Denied
78,Europe,Australia,Master's,Y,Y,18890,1979,South,64534.62,Hourly,N,Student,Summer,Center D,295,Certified
79,North America,Nigeria,Master's,Y,Y,37398,1985,West,34895.25,Hourly,Y,PR,Winter,Center B,75,Certified
80,Europe,Canada,Diploma,Y,N,32445,1960,West,43562.52,Monthly,Y,PR,Winter,Center C,308,Certified
81,Europe,Japan,Bachelor's,Y,N,10423,1965,South,76505.91,Monthly,Y,Work,Spring,Center B,360,Certified
82,Oceania,UK,PhD,Y,Y,11394,2016,West,71219.78,Monthly,Y,PR,Fall,Center A,207,Certified
83,North America,UK,High School,N,N,25061,1950,South,9485.2,Hourly,Y,Work,Spring,Center A,23,Certified
84,Oceania,UAE,Master's,Y,N,39148,1962,Midwest,54606.09,Weekly,Y,Student,Spring,Center A,353,Denied
85,Oceania,UK,Bachelor's,Y,N,22624,1988,South,38318.21,Yearly,Y,Dependent,Summer,Center A,343,Certified
86,North America,China,Master's,N,Y,24906,1950,Midwest,101729.35,Weekly,N,PR,Summer,Center A,318,Denied
87,Asia,Brazil,High School,N,Y,15224,1990,West,106169.48,Yearly,Y,Business,Winter,Center B,277,Certified
88,Oceania,Nigeria,PhD,N,N,42067,1996,Northeast,70808.21,Monthly,Y,Work,Spring,Center D,142,Certified
89,South America,China,High School,N,Y,49926,1985,Northeast,72621.34,Weekly,Y,Dependent,Summer,Center A,180,Certified
90,South America,Japan,PhD,N,N,13303,1995,West,133844.42,Weekly,Y,Student,Summer,Center A,125,Certified
91,Europe,UAE,High School,Y,N,36694,1989,South,10079.43,Hourly,Y,PR,Winter,Center C,110,Certified
92,South America,Brazil,Diploma,Y,Y,31766,1997,West,76673.21,Yearly,Y,Tourist,Summer,Center B,74,Certified
93,Europe,UAE,Diploma,Y,N,43495,1989,West,33374.0,Yearly,Y,Business,Winter,Center C,58,Certified
94,Asia,Brazil,Bachelor's,Y,N,35840,1962,Midwest,108186.0,Hourly,Y,PR,Summer,Center B,283,Certified
95,North America,Nigeria,Master's,N,Y,15364,1991,South,51476.63,Yearly,Y,Student,Spring,Center C,73,Certified
96,North America,China,Diploma,Y,N,25651,2021,Midwest,55087.58,Monthly,Y,Tourist,Summer,Center C,278,Certified
97,North America,UK,Master's,Y,N,38308,2015,South,22860.5,Yearly,Y,PR,Fall,Center A,36,Certified
98,South America,India,Bachelor's,N,Y,36258,2020,South,103691.97,Monthly,Y,Work,Summer,Center B,8,Denied
99,Asia,UK,PhD,N,N,26653,2006,West,5205.07,Hourly,Y,PR,Spring,Center C,32,Denied
100,South America,Germany,High School,Y,Y,14055,2001,Northeast,103356.49,Weekly,Y,Student,Spring,Center B,183,Denied
101,South America,Germany,PhD,Y,Y,27273,2010,South,129335.71,Yearly,Y,PR,Summer,Center A,307,Certified
102,Asia,UAE,PhD,N,N,34491,2012,Northeast,55746.44,Monthly,Y,Business,Winter,Center B,173,Certified
103,Asia,China,Master's,Y,Y,40222,2016,Northeast,13294.33,Weekly,Y,Business,Fall,Center D,239,Denied
104,Asia,Japan,PhD,Y,Y,8457,1986,Northeast,27560.4,Hourly,Y,PR,Fall,Center A,349,Certified
105,Asia,Canada,Diploma,Y,N,29172,2017,Northeast,144348.82,Weekly,Y,Tourist,Winter,Center B,232,Certified
106,North America,UK,Diploma,N,Y,40413,1978,West,124940.71,Weekly,Y,Dependent,Fall,Center D,110,Certified
107,Africa,Germany,PhD,N,N,14045,2016,Northeast,134291.9,Hourly,N,Tourist,Summer,Center C,351,Certified
108,Africa,India,Diploma,Y,N,32973,1962,West,141243.51,Hourly,Y,Tourist,Spring,Center A,231,Certified
109,Asia,UAE,High School,Y,Y,5243,1960,West,142266.56,Weekly,Y,PR,Spring,Center D,46,Denied
110,Africa,Germany,Diploma,N,Y,4928,2019,South,60944.44,Weekly,Y,Business,Summer,Center A,191,Certified
111,Africa,Nigeria,Master's,Y,N,18519,2011,Midwest,145643.76,Monthly,N,Student,Spring,Center C,50,Denied
112,Asia,Germany,PhD,N,Y,39164,2014,West,110124.35,Hourly,Y,Dependent,Winter,Center A,173,Certified
113,Africa,Nigeria,Bachelor's,Y,N,19247,1971,South,36140.69,Monthly,Y,Dependent,Fall,Center C,266,Certified
114,South America,Canada,Diploma,N,N,37291,2021,Midwest,117627.31,Hourly,Y,Business,Fall,Center D,63,Denied
115,Europe,Nigeria,Diploma,Y,N,42652,2001,South,67899.1,Monthly,Y,PR,Summer,Center B,122,Certified
116,Europe,UAE,Diploma,Y,N,19503,2018,Midwest,125224.35,Weekly,Y,PR,Fall,Center B,321,Certified
117,Asia,China,High School,N,Y,44632,1972,Northeast,11301.11,Hourly,N,Work,Fall,Center D,85,Certified
118,North America,China,Bachelor's,Y,Y,37625,2023,West,106126.35,Yearly,Y,Business,Spring,Center C,149,Denied
119,Asia,Japan,Diploma,Y,N,49587,1987,West,91173.85,Yearly,Y,Student,Fall,Center A,123,Certified
120,North America,Nigeria,Diploma,N,N,1234,1993,South,5912.32,Monthly,N,Work,Fall,Center A,254,Certified
121,Europe,UAE,High School,N,Y,2138,1975,South,118125.4,Weekly,Y,Tourist,Fall,Center C,279,Denied
122,Asia,UK,High School,Y,N,42291,1977,West,142199.63,Monthly,N,Business,Fall,Center C,26,Certified
123,Oceania,UAE,Diploma,N,N,32035,1955,Northeast,15711.44,Weekly,Y,Tourist,Winter,Center D,112,Certified
124,South America,Germany,Diploma,N,Y,13047,2010,Northeast,38557.06,Monthly,Y,Tourist,Fall,Center B,37,Certified
125,Africa,Germany,Diploma,N,Y,22215,1988,South,52616.4,Monthly,Y,Tourist,Spring,Center A,214,Certified
126,North America,Australia,Diploma,Y,N,20318,2011,Midwest,71072.75,Yearly,Y,Work,Spring,Center D,333,Denied
127,Oceania,Germany,Bachelor's,Y,Y,40963,1984,West,34186.6,Weekly,Y,Tourist,Spring,Center A,259,Certified
128,Africa,China,PhD,N,N,35082,1978,Midwest,145237.32,Hourly,Y,Tourist,Summer,Center C,185,Denied
129,Africa,China,PhD,N,N,17834,2014,West,34672.67,Monthly,Y,Business,Spring,Center C,149,Certified
130,Asia,Germany,Master's,Y,N,44150,2004,South,66895.73,Yearly,Y,PR,Fall,Center B,44,Certified
131,Africa,UK,High School,N,N,23539,1999,West,109449.39,Monthly,Y,Work,Fall,Center A,298,Certified
132,South America,China,PhD,Y,N,31450,1959,Midwest,92158.83,Yearly,Y,Business,Summer,Center C,158,Certified
133,Oceania,Nigeria,Diploma,N,N,160,2007,Northeast,105653.81,Hourly,N,Tourist,Winter,Center C,45,Certified
134,Africa,Australia,Diploma,Y,Y,9780,2005,South,85284.04,Weekly,Y,Business,Fall,Center C,58,Certified
135,Asia,China,Bachelor's,N,N,10869,1998,South,21344.65,Monthly,N,PR,Winter,Center B,25,Certified
136,South America,UAE,High School,Y,Y,44354,1986,South,48618.96,Hourly,Y,Student,Spring,Center D,35,Certified
137,Europe,Canada,PhD,Y,Y,33147,2021,Midwest,119600.37,Monthly,Y,PR,Summer,Center A,215,Certified
138,Oceania,UK,Bachelor's,Y,Y,37210,1994,Northeast,9961.21,Hourly,Y,Work,Spring,Center A,248,Certified
139,Africa,Germany,Bachelor's,Y,N,12353,1975,Midwest,68623.62,Monthly,Y,Dependent,Spring,Center B,84,Certified
140,Asia,China,High School,Y,N,46831,1992,West,130786.84,Monthly,Y,PR,Fall,Center C,294,Denied
141,Europe,UAE,Diploma,Y,N,11624,2009,Northeast,132077.44,Yearly,Y,PR,Winter,Center A,173,Certified
142,Europe,Japan,Diploma,Y,N,13551,1984,West,101573.73,Hourly,N,Dependent,Spring,Center C,48,Certified
143,North America,Brazil,High School,Y,Y,22184,2013,South,39611.79,Hourly,N,Student,Fall,Center B,212,Certified
144,South America,UAE,Bachelor's,Y,N,35466,1983,West,87798.81,Yearly,N,PR,Winter,Center A,154,Certified
145,Africa,India,Diploma,Y,N,26924,1969,Northeast,89225.63,Monthly,Y,Tourist,Fall,Center D,288,Denied
146,Asia,UK,High School,N,N,49555,1995,Northeast,59833.44,Weekly,Y,Dependent,Fall,Center D,328,Denied
147,North America,India,Diploma,N,N,44332,1954,Midwest,110110.43,Weekly,Y,Tourist,Spring,Center B,339,Certified
148,South America,Nigeria,Bachelor's,Y,N,45814,1982,West,49821.72,Yearly,Y,Dependent,Fall,Center A,320,Certified
149,North America,UK,Diploma,Y,Y,43711,1965,South,75322.47,Weekly,N,Dependent,Spring,Center B,218,Denied
150,Oceania,UK,PhD,N,N,35072,1969,South,129149.35,Weekly,Y,Business,Fall,Center C,352,Certified
151,South America,Japan,Master's,Y,N,17623,1958,Midwest,58106.5,Monthly,Y,Student,Fall,Center C,334,Certified
152,South America,Japan,High School,Y,N,18376,2004,West,95564.06,Monthly,Y,Student,Winter,Center B,298,Certified
153,Africa,Canada,PhD,Y,Y,28287,1985,Northeast,43963.05,Hourly,Y,Work,Spring,Center C,230,Certified
154,South America,UK,High School,Y,N,40415,2006,West,82548.4,Weekly,Y,PR,Spring,Center C,9,Certified
155,North America,Japan,Diploma,Y,Y,6993,2006,West,36323.17,Hourly,Y,Business,Winter,Center B,23,Certified
156,South America,Germany,Master's,N,N,19635,2013,West,85876.43,Weekly,N,PR,Winter,Center B,267,Denied
157,Africa,UAE,Bachelor's,Y,N,46571,1961,West,26230.15,Hourly,Y,PR,Winter,Center D,68,Certified
158,Africa,UK,Bachelor's,Y,Y,1608,2013,South,139949.08,Monthly,Y,Business,Fall,Center C,10,Certified
159,Oceania,Germany,High School,Y,N,26909,1960,South,34403.2,Yearly,Y,Work,Summer,Center A,238,Certified
160,North America,Japan,Diploma,Y,N,13163,1982,Midwest,83981.5,Hourly,Y,Tourist,Spring,Center A,149,Certified
161,Europe,India,Bachelor's,Y,Y,8662,1957,West,15062.65,Hourly,Y,PR,Fall,Center A,329,Denied
162,Europe,Canada,Master's,Y,N,32845,1981,West,18827.07,Yearly,Y,Tourist,Winter,Center C,34,Certified
163,South America,Japan,Master's,N,N,26826,1974,West,146073.08,Hourly,Y,Work,Summer,Center A,65,Certified
164,Oceania,India,PhD,N,N,7425,1975,South,85387.17,Weekly,Y,PR,Fall,Center A,327,Certified
165,Asia,Brazil,Bachelor's,Y,N,40810,1982,South,138717.71,Hourly,Y,Work,Summer,Center C,98,Certified
166,South America,Canada,Diploma,Y,N,24122,1982,South,147304.78,Weekly,Y,Dependent,Winter,Center A,63,Certified
167,Oceania,UK,Master's,N,N,18302,1958,Midwest,54725.89,Hourly,Y,Dependent,Winter,Center A,341,Certified
168,North America,Japan,Bachelor's,Y,N,20203,2011,Northeast,27775.05,Yearly,Y,Business,Fall,Center B,74,Certified
169,North America,UAE,PhD,Y,N,3110,1990,Midwest,115703.28,Hourly,Y,PR,Fall,Center D,195,Certified
170,North America,Australia,PhD,Y,N,2080,2011,Northeast,131430.67,Weekly,Y,Work,Winter,Center C,246,Certified
171,North America,UAE,Bachelor's,Y,Y,7939,2002,South,3303.8,Hourly,Y,Dependent,Fall,Center D,130,Certified
172,North America,UK,High School,Y,Y,30560,1985,Northeast,16212.0,Monthly,Y,Student,Spring,Center A,234,Certified
173,Oceania,Brazil,Bachelor's,Y,N,35954,1998,South,111800.11,Hourly,Y,Business,Spring,Center D,356,Certified
174,Oceania,Germany,Master's,Y,Y,44572,1982,West,78836.47,Yearly,Y,Work,Spring,Center B,303,Certified
175,Africa,Canada,Bachelor's,N,N,2088,1976,Northeast,111593.52,Yearly,Y,Dependent,Fall,Center C,319,Certified
176,Europe,Nigeria,Bachelor's,Y,N,16957,2000,Northeast,78366.68,Weekly,Y,Dependent,Winter,Center B,326,Certified
177,North America,Canada,Master's,Y,Y,44160,1969,Midwest,52107.93,Yearly,Y,Tourist,Winter,Center D,342,Certified
178,Asia,Germany,PhD,Y,N,4377,1993,West,56768.71,Weekly,Y,Work,Winter,Center B,168,Certified
179,Oceania,China,Diploma,Y,N,29083,1996,South,118142.04,Monthly,Y,PR,Fall,Center A,114,Certified
180,Asia,Germany,Master's,Y,N,34055,1975,Northeast,109821.66,Yearly,Y,Tourist,Fall,Center A,149,Denied
181,Asia,Canada,PhD,N,N,16335,1963,Midwest,82880.84,Monthly,Y,Student,Summer,Center B,182,Certified
182,Asia,India,Bachelor's,Y,N,39847,1978,West,14430.81,Hourly,Y,Tourist,Spring,Center B,147,Certified
183,Africa,Germany,Diploma,N,N,14818,2001,South,19661.77,Weekly,Y,PR,Fall,Center A,25,Certified
184,Oceania,UK,PhD,Y,N,18196,1968,South,147036.65,Hourly,Y,PR,Summer,Center B,259,Certified
185,Asia,Canada,Diploma,Y,N,8714,1999,West,120547.95,Monthly,Y,Work,Winter,Center D,308,Certified
186,North America,Nigeria,Bachelor's,Y,N,45945,1970,West,28760.07,Weekly,Y,Dependent,Summer,Center C,339,Certified
187,South America,Canada,Bachelor's,N,Y,5224,1993,South,71591.94,Weekly,Y,Student,Spring,Center A,113,Certified
188,Asia,UK,Bachelor's,Y,Y,24464,2016,South,48803.66,Monthly,N,Tourist,Winter,Center B,229,Certified
189,Africa,Germany,Master's,N,Y,41949,2020,South,146979.55,Hourly,Y,Tourist,Fall,Center D,108,Certified
190,Oceania,Australia,Bachelor's,N,N,17177,1971,South,2569.39,Monthly,Y,PR,Spring,Center C,299,Certified
191,Africa,Brazil,Master's,N,Y,24642,2005,West,139536.54,Weekly,Y,Work,Summer,Center D,271,Certified
192,Asia,UK,High School,Y,Y,9186,1979,Midwest,116333.57,Weekly,N,Dependent,Fall,Center B,274,Certified
193,Oceania,UAE,Master's,N,N,15231,1993,South,12694.39,Hourly,N,PR,Winter,Center D,244,Certified
194,South America,Nigeria,Diploma,Y,N,49792,1978,Midwest,35164.13,Monthly,N,Business,Spring,Center B,61,Certified
195,Asia,Canada,High School,N,Y,6165,2013,Northeast,128630.04,Hourly,Y,Student,Spring,Center C,345,Certified
196,Africa,UAE,High School,N,Y,31842,2002,South,77978.69,Monthly,N,Dependent,Winter,Center B,267,Certified
197,Europe,Japan,Bachelor's,N,N,25408,2014,South,13636.04,Hourly,Y,Dependent,Spring,Center A,168,Certified
198,North America,Germany,Diploma,N,Y,36005,2024,Northeast,96523.5,Yearly,Y,PR,Spring,Center A,121,Certified
199,Africa,Brazil,PhD,N,N,17800,1972,South,22061.98,Hourly,Y,Student,Spring,Center C,175,Certified
200,Oceania,Germany,High School,Y,N,33498,2024,South,138913.99,Yearly,N,Student,Summer,Center D,191,Certified
201,Asia,China,Diploma,Y,N,14433,2011,Midwest,131631.56,Yearly,Y,Business,Fall,Center C,271,Certified
202,North America,Australia,PhD,Y,N,34407,1990,West,26702.9,Monthly,N,Dependent,Winter,Center D,36,Certified
203,Asia,UK,PhD,Y,N,36849,1954,South,114349.21,Monthly,N,Student,Summer,Center A,322,Denied
204,Oceania,Japan,PhD,Y,N,34762,2001,West,78036.77,Yearly,Y,Work,Fall,Center C,262,Certified
205,Asia,Brazil,Master's,Y,N,26256,1980,Midwest,33730.9,Weekly,Y,Work,Spring,Center D,191,Denied
206,Europe,Canada,Bachelor's,Y,N,27682,1951,Midwest,56357.17,Hourly,Y,PR,Spring,Center C,362,Certified
207,North America,Brazil,High School,N,N,27636,1952,Midwest,35936.91,Yearly,Y,PR,Fall,Center D,334,Certified
208,North America,UK,High School,Y,N,11063,2005,Midwest,135748.16,Yearly,Y,Work,Fall,Center A,349,Certified
209,Oceania,China,High School,Y,Y,22544,1955,West,59142.9,Yearly,N,PR,Summer,Center A,32,Certified
210,Europe,Nigeria,Bachelor's,Y,Y,39968,2024,South,63377.82,Monthly,Y,Tourist,Summer,Center A,163,Certified
211,Africa,Germany,PhD,N,N,44532,1989,Northeast,93342.12,Yearly,Y,Business,Fall,Center B,45,Denied
212,Asia,UAE,Diploma,N,Y,6146,1994,Midwest,74189.85,Yearly,Y,PR,Fall,Center A,44,Certified
213,South America,UAE,Bachelor's,Y,N,36244,2020,West,149943.55,Weekly,Y,Business,Fall,Center A,337,Denied
214,Asia,UK,Bachelor's,N,N,11428,2009,Midwest,54603.22,Yearly,Y,Tourist,Winter,Center D,227,Certified
215,Asia,UK,Master's,N,N,13049,1993,West,121433.53,Monthly,Y,Student,Summer,Center D,318,Denied
216,Africa,India,PhD,Y,Y,42568,1996,Northeast,62353.11,Monthly,Y,Tourist,Summer,Center A,238,Certified
217,Asia,Brazil,PhD,N,N,36472,1991,Midwest,125935.62,Weekly,Y,Business,Summer,Center D,304,Certified
218,Europe,Germany,High School,N,N,41390,1970,South,130748.33,Monthly,Y,PR,Spring,Center D,252,Denied
219,Europe,China,Bachelor's,N,Y,8522,1971,West,51622.75,Yearly,Y,Student,Fall,Center B,164,Certified
220,North America,Canada,PhD,Y,Y,856,1988,Northeast,124892.23,Hourly,Y,Business,Summer,Center B,66,Certified
221,Oceania,Brazil,Bachelor's,Y,N,6068,1979,Midwest,43199.57,Yearly,Y,Dependent,Winter,Center C,312,Certified
222,South America,Australia,PhD,Y,N,7777,1984,West,10780.21,Hourly,Y,Work,Winter,Center D,43,Certified
223,Asia,China,PhD,Y,Y,27471,1960,West,16138.8,Weekly,Y,Tourist,Winter,Center C,130,Certified
224,Asia,Australia,Diploma,N,Y,11694,1955,West,113736.74,Monthly,Y,Dependent,Spring,Center C,54,Denied
225,Africa,Germany,High School,Y,N,42059,1953,Midwest,14505.95,Weekly,N,Work,Spring,Center C,158,Certified
226,Oceania,Japan,High School,Y,N,25923,2005,West,77618.91,Yearly,Y,Work,Winter,Center C,347,Certified
227,Europe,Japan,PhD,Y,N,16315,1976,Midwest,131580.42,Hourly,N,PR,Spring,Center A,36,Certified
228,South America,Nigeria,High School,Y,N,11022,1969,West,60831.83,Yearly,N,Work,Spring,Center C,114,Certified
229,North America,Brazil,PhD,Y,N,26578,2014,West,114372.97,Monthly,Y,Student,Spring,Center A,78,Certified
230,Europe,India,Diploma,N,N,41171,2010,South,21222.57,Yearly,Y,Tourist,Winter,Center C,351,Certified
231,Oceania,India,Bachelor's,Y,Y,364,1981,Northeast,57706.99,Weekly,N,Dependent,Fall,Center A,318,Certified
232,North America,Germany,High School,Y,Y,32856,2004,South,121253.7,Monthly,Y,Work,Fall,Center D,173,Certified
233,Africa,UAE,PhD,N,N,34342,1981,Midwest,90241.15,Hourly,N,Work,Winter,Center A,268,Certified
